Rank,Name,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
87,University of Bristol,United Kingdom,63.2,41.8,48.4,95.5,40.9,86.6,8,195187,109551
90,University of Zurich,Switzerland,62.8,47.0,46.7,88.2,53.0,92.2,9,120500,59490
91,University of Tübingen,Germany,62.7,51.2,56.2,80.1,67.0,64.0,11,104824,47583
93,École Polytechnique,France,62.5,59.6,49.1,70.2,69.6,95.2,12,356481,221972
94,University of Basel,Switzerland,62.4,43.0,41.2,91.4,99.4,96.1,4,252361,249161
94,Dartmouth College,United States,62.4,58.4,39.9,96.4,41.0,39.6,5,575660,471306
96,"University of California, Irvine",United States,62.3,43.3,46.5,94.9,58.9,71.9,2,573614,573614
96,University of Helsinki,Finland,62.3,43.4,59.3,88.1,38.1,55.1,25,105872,56251
96,Lund University,Sweden,62.3,40.7,54.3,86.3,81.0,77.7,12,619793,367751
99,University of Glasgow,United Kingdom,62.2,41.1,47.9,91.8,40.0,92.3,5,596670,542847
99,RWTH Aachen University,Germany,62.2,55.6,61.5,67.3,98.1,59.0,3,225868,131138
101,University of Copenhagen,Denmark,62.1,48.1,44.1,89.6,48.1,85.4,14,107112,83449
102,Georgetown University,United States,61.9,57.3,37.9,93.9,62.5,47.2,33,732810,552092
102,Uppsala University,Sweden,61.9,41.6,56.4,85.0,74.6,68.1,10,116313,23178
104,University of Arizona,United States,61.8,52.6,53.7,85.3,52.7,40.2,6,878411,785617
105,University of Bonn,Germany,61.6,47.6,47.0,88.0,93.3,60.3,8,184197,43586
105,Rice University,United States,61.6,49.1,39.7,93.7,45.4,77.0,2,640504,640504
107,Zhejiang University,China,61.5,66.0,64.7,50.6,100.0,61.8,1,131138,131138
109,Fudan University,China,61.4,61.9,58.6,68.1,58.6,44.8,3,192799,215895
110,Queen Mary University of London,United Kingdom,61.3,35.3,43.1,98.0,44.1,96.7,2,1722,1722
112,University of Birmingham,United Kingdom,60.9,39.6,45.6,92.1,39.3,89.2,17,689387,727450
113,University of Bern,Switzerland,60.4,44.5,41.2,86.6,85.0,87.3,4,187049,75838
115,Aarhus University,Denmark,60.3,37.2,54.0,85.4,66.7,74.8,7,150449,61606
116,Vanderbilt University,United States,60.2,48.7,42.1,95.4,47.5,43.0,4,245485,217103
117,University of Sheffield,United Kingdom,60.1,45.2,46.4,83.0,45.8,87.3,2,1002361,1002361
119,Case Western Reserve University,United States,60.0,48.4,39.9,95.3,42.1,52.2,1,103564,103564
120,University of Adelaide,Australia,59.9,34.3,41.6,95.3,64.8,91.7,10,504388,565957
120,National Taiwan University,Taiwan,59.9,57.0,62.7,64.0,65.4,41.9,68,328627,300697
122,University of Southampton,United Kingdom,59.8,40.2,44.3,88.0,40.1,94.2,7,822890,1091854
123,Ghent University,Belgium,59.7,43.3,55.5,78.4,80.9,59.5,15,106023,40788
124,University of Colorado Boulder,United States,59.6,44.8,45.6,93.1,41.7,47.3,3,621331,343580
125,University of Göttingen,Germany,59.5,49.6,48.6,82.0,37.0,60.9,9,234981,72890
126,City University of Hong Kong,Hong Kong,59.3,41.0,48.9,77.6,62.4,99.6,2,591495,591495
127,Maastricht University,Netherlands,59.0,40.2,48.3,77.0,82.9,97.6,2,500406,500406
128,Radboud University Nijmegen,Netherlands,58.9,36.0,49.9,88.2,46.2,73.0,2,23959,23959
128,University of York,United Kingdom,58.9,40.3,46.6,85.1,36.4,85.4,6,302626,266472
130,University of Paris,France,58.8,52.0,36.1,88.3,35.6,66.6,123,360342,231242
131,University of Oslo,Norway,58.7,39.6,43.8,90.0,40.7,75.5,23,114016,73626
131,University of Western Australia,Australia,58.7,32.5,43.9,91.0,57.0,94.3,4,304916,277652
134,Indiana University,United States,58.4,50.8,49.7,76.7,49.8,53.5,18,586948,368725
134,University of Vienna,Austria,58.4,48.1,55.3,64.6,37.1,94.2,44,96097,92087
136,University of Alberta,Canada,58.2,47.9,48.8,70.3,60.5,87.5,3,563676,390585
136,University of Cape Town,South Africa,58.2,33.2,42.8,90.3,85.3,81.8,19,659414,379728
139,Tufts University,United States,58.0,49.1,34.2,94.4,38.6,49.6,10,154491,127111
141,University of Ottawa,Canada,57.9,41.3,42.0,86.2,46.5,77.7,6,745768,684107
144,University of Geneva,Switzerland,57.6,38.1,43.7,80.4,63.3,98.4,24,177209,65339
146,University of Exeter,United Kingdom,57.4,33.9,38.9,92.4,37.8,91.9,9,565605,482214
146,University of Sussex,United Kingdom,57.4,35.3,37.9,91.8,35.9,93.6,16,462413,277459
149,University of Hamburg,Germany,57.3,44.4,49.8,74.0,98.5,58.1,10,280831,174152
149,Technical University of Berlin,Germany,57.3,50.4,53.9,62.3,92.7,66.2,3,461106,256257
152,University of Nottingham,United Kingdom,57.2,42.7,42.6,80.3,39.4,87.5,6,1085877,998028
155,University of Leeds,United Kingdom,57.1,41.1,45.9,78.0,39.9,87.5,21,667793,509080
157,Autonomous University of Barcelona,Spain,56.9,40.9,36.1,92.9,44.8,64.3,4,530641,498686
157,University of Cologne,Germany,56.9,43.6,42.9,81.5,70.6,62.9,4,326229,207015
157,University of Mannheim,Germany,56.9,41.9,50.0,78.2,58.6,58.5,2,977511,977511
157,University of Notre Dame,United States,56.9,52.9,46.2,73.5,38.1,55.3,6,131396,121664
157,TU Dresden,Germany,56.9,46.5,48.5,73.0,94.1,55.8,1,306831,306831
163,University of Würzburg,Germany,56.8,38.7,42.4,87.5,65.6,61.5,3,46108,17296
164,Trinity College Dublin,Ireland,56.4,41.7,43.9,75.4,41.2,94.4,8,85605,44760
165,University of Liverpool,United Kingdom,56.3,35.2,37.5,88.8,38.8,92.2,6,615603,227689
166,Bielefeld University,Germany,56.1,36.1,42.7,91.1,59.4,48.6,1,125427,125427
166,University of Leicester,United Kingdom,56.1,30.1,34.8,96.2,38.1,90.7,3,1340459,1185951
168,University of Aberdeen,United Kingdom,56.0,30.4,33.3,95.2,45.8,95.7,5,866005,732968
168,University of Bologna,Italy,56.0,51.5,34.8,83.8,45.1,50.7,13,690993,540709
171,Hong Kong Polytechnic University,Hong Kong,55.9,41.0,46.6,71.8,42.3,94.1,3,17337,20500
173,Northeastern University,United States,55.6,38.0,27.9,97.5,38.0,75.0,2,366357,366357
173,University of Rochester,United States,55.6,43.4,30.3,91.4,40.9,67.2,5,540404,408961
175,University of Florida,United States,55.4,54.0,53.8,61.9,57.9,40.0,5,1031579,776663
175,Stockholm University,Sweden,55.4,30.0,46.4,85.0,36.6,81.3,14,550371,78045
178,Texas A&M University,United States,55.3,49.3,54.8,62.8,45.3,54.3,6,697861,641830
179,University of Auckland,New Zealand,55.2,31.4,43.9,80.2,62.4,94.0,37,460775,248814
179,Korea University,South Korea,55.2,48.4,50.2,64.5,93.9,52.0,16,295570,181282
184,Aalto University,Finland,54.8,41.8,39.4,76.7,48.3,82.3,4,56297,51924
184,Technical University of Denmark,Denmark,54.8,39.4,40.2,73.8,71.6,92.8,3,59981,66607
186,University of Gothenburg,Sweden,54.7,27.5,41.5,93.5,40.1,65.7,3,111797,44275
188,Télécom Paris,France,54.6,42.6,38.3,74.4,76.6,81.7,4,332777,377225
189,University of Münster,Germany,54.3,41.0,42.5,81.3,47.5,48.7,3,254168,285160
189,Tel Aviv University,Israel,54.3,41.3,51.3,71.2,41.8,54.7,37,108280,74896
192,University of East Anglia,United Kingdom,54.2,28.3,30.1,97.2,35.7,87.7,17,985848,576811
193,University of Canberra,Australia,54.1,25.2,31.1,99.2,38.6,86.9,1,796529,796529
194,University of Duisburg-Essen,Germany,54.0,34.4,32.8,91.8,71.6,60.0,1,14166,14166
194,University of Technology Sydney,Australia,54.0,33.5,42.9,75.3,50.3,96.1,1,1170821,1170821
194,University of the Witwatersrand,South Africa,54.0,31.2,43.2,78.8,100.0,73.7,14,259034,100894
198,University of Antwerp,Belgium,53.8,35.6,44.5,75.8,72.2,69.6,1,46150,46150
198,Cardiff University,United Kingdom,53.8,32.5,35.5,87.1,37.8,85.1,8,784244,501631
198,George Washington University,United States,53.8,48.6,32.4,81.5,35.0,55.5,25,677997,505359
198,University of Lausanne,Switzerland,53.8,33.1,44.2,73.3,67.8,92.7,9,85559,74355
201,University of Barcelona,Spain,50.1–53.7,37.3,32.5,87.6,41.2,54.7,17,494186,170003
201,University of Bergen,Norway,50.1–53.7,29.5,29.4,94.1,37.1,78.3,6,55763,48926
201,Brandeis University,United States,50.1–53.7,28.5,22.9,100.0,35.6,53.4,14,437388,106061
201,University of Calgary,Canada,50.1–53.7,33.9,34.2,84.7,48.1,77.2,4,181042,108247
201,University of Dundee,United Kingdom,50.1–53.7,24.8,31.2,90.5,46.5,80.4,2,1005222,1005222
201,Griffith University,Australia,50.1–53.7,25.5,32.7,86.0,42.0,81.8,2,535618,535618
201,Hebrew University of Jerusalem,Israel,50.1–53.7,48.2,45.1,62.3,41.4,60.3,58,112670,94413
201,Howard University,United States,50.1–53.7,42.8,15.3,99.0,34.4,34.0,11,1068135,814640
201,University of Iowa,United States,50.1–53.7,43.1,29.5,82.3,54.0,46.5,11,147972,112132
201,King Abdulaziz University,Saudi Arabia,50.1–53.7,29.5,16.5,96.4,78.9,93.1,3,353406,286683
201,University of Konstanz,Germany,50.1–53.7,38.8,44.2,66.4,72.1,65.6,3,80710,60357
201,University of Luxembourg,Luxembourg,50.1–53.7,37.9,36.5,75.8,45.2,99.7,1,895476,895476
201,Macquarie University,Australia,50.1–53.7,37.8,42.6,71.8,53.1,83.9,3,351927,245034
201,University of Massachusetts,United States,50.1–53.7,38.5,31.1,87.0,49.9,61.7,12,799592,556528
201,University of Miami,United States,50.1–53.7,44.0,25.2,83.2,41.3,59.1,14,733642,223938
201,Moscow Institute of Physics and Technology,Russian Federation,50.1–53.7,53.3,45.6,47.2,99.9,58.7,1,105661,105661
201,Newcastle University,United Kingdom,50.1–53.7,31.5,36.2,85.5,41.7,87.8,8,361319,349147
201,University of Otago,New Zealand,50.1–53.7,30.2,32.1,84.7,37.0,89.8,15,389093,210446
201,University of Padua,Italy,50.1–53.7,42.5,30.9,80.2,38.4,45.1,3,582642,748840
201,University of Reading,United Kingdom,50.1–53.7,32.1,35.2,76.9,40.3,91.9,11,688287,628227
201,University College Dublin,Ireland,50.1–53.7,30.8,36.5,73.6,43.9,92.5,11,137075,27152
201,University of Utah,United States,50.1–53.7,39.0,34.7,86.4,48.3,33.0,2,713566,713566
201,Vrije Universiteit Brussel,Belgium,50.1–53.7,37.4,42.3,62.7,87.0,75.4,3,32284,31159
201,William & Mary,United States,50.1–53.7,47.5,21.1,87.4,35.3,37.3,2,412819,412819
201,University of Wollongong,Australia,50.1–53.7,29.9,35.0,75.5,55.7,93.4,1,402180,402180
251,Auckland University of Technology,New Zealand,46.9–50.0,19.7,18.4,98.0,36.7,95.8,1,183269,183269
251,Autonomous University of Madrid,Spain,46.9–50.0,40.1,28.7,74.5,38.6,51.5,1,245234,245234
251,University of Bath,United Kingdom,46.9–50.0,28.6,31.1,75.7,37.5,90.3,5,571955,246620
251,University at Buffalo,United States,46.9–50.0,37.2,32.7,73.8,42.1,64.7,9,383313,411289
251,Chalmers University of Technology,Sweden,46.9–50.0,36.1,42.1,60.0,74.1,82.9,1,47263,47263
251,University of Cincinnati,United States,46.9–50.0,35.5,30.8,83.9,39.4,40.9,1,395313,395313
251,Curtin University,Australia,46.9–50.0,23.4,30.4,83.2,44.8,94.2,1,4611,4611
251,Dalhousie University,Canada,46.9–50.0,27.7,29.6,79.5,44.4,85.4,2,63375,63375
251,University of Delaware,United States,46.9–50.0,28.5,38.2,71.5,90.6,47.2,1,1183,1183
251,École des Ponts ParisTech,France,46.9–50.0,39.9,24.5,73.1,57.5,82.3,8,452747,510274
251,University of Essex,United Kingdom,46.9–50.0,31.6,34.3,68.6,35.0,96.5,20,539327,292020
251,Flinders University,Australia,46.9–50.0,22.5,29.9,84.4,37.7,88.0,5,563504,498336
251,Florida State University,United States,46.9–50.0,38.0,40.1,69.2,39.4,43.5,8,405018,239834
251,George Mason University,United States,46.9–50.0,29.9,26.3,89.5,35.8,46.2,1,824951,824951
251,University of Illinois at Chicago,United States,46.9–50.0,45.0,33.4,69.7,43.2,54.9,1,20719,20719
251,La Trobe University,Australia,46.9–50.0,27.1,33.1,73.3,51.3,83.8,4,465315,481304
251,University of Oregon,United States,46.9–50.0,34.0,29.3,83.7,34.7,37.0,11,701240,624217
251,University of Oulu,Finland,46.9–50.0,30.3,34.4,76.4,43.0,54.3,1,97125,97125
251,Ruhr University Bochum,Germany,46.9–50.0,39.7,45.0,57.9,54.5,55.0,1,199359,199359
251,University of São Paulo,Brazil,46.9–50.0,56.4,54.0,40.6,39.9,33.9,10,78142,18461
251,Sapienza University of Rome,Italy,46.9–50.0,40.4,40.0,69.8,43.6,40.5,14,211394,12554
251,Simon Fraser University,Canada,46.9–50.0,24.1,35.5,75.3,47.0,91.1,2,58742,58742
251,University of South Australia,Australia,46.9–50.0,31.5,39.4,65.8,82.5,89.3,1,1337210,1337210
251,Stellenbosch University,South Africa,46.9–50.0,29.5,34.6,74.4,59.1,54.8,7,187345,138252
251,University of Stuttgart,Germany,46.9–50.0,41.8,45.4,52.4,61.1,53.1,1,48284,48284
251,University of Surrey,United Kingdom,46.9–50.0,30.2,34.3,71.9,46.8,93.7,4,657508,674736
251,Syracuse University,United States,46.9–50.0,35.1,29.6,78.1,35.3,48.7,10,194821,49075
251,Tohoku University,Japan,46.9–50.0,52.7,54.4,39.8,86.4,38.1,2,53092,53092
251,Tokyo Institute of Technology,Japan,46.9–50.0,51.2,51.8,37.4,69.3,40.5,4,42735,32410
251,Western Sydney University,Australia,46.9–50.0,23.5,29.1,82.8,40.4,83.7,1,469688,469688
301,Aix-Marseille University,France,44.5–46.8,41.3,25.3,67.1,36.8,60.5,9,939698,689273
301,Anglia Ruskin University,United Kingdom,44.5–46.8,17.9,14.4,99.9,35.1,83.7,3,51859,1336
301,Beijing Normal University,China,44.5–46.8,46.5,39.6,48.6,57.1,42.9,4,32206,32048
301,Boston College,United States,44.5–46.8,36.7,33.7,69.2,34.4,42.3,5,887618,925128
301,University of Canterbury,New Zealand,44.5–46.8,24.3,27.2,72.7,38.5,93.1,18,365793,267866
301,Colorado School of Mines,United States,44.5–46.8,30.1,25.1,79.6,46.6,42.1,2,472810,472810
301,Deakin University,Australia,44.5–46.8,23.8,29.6,73.5,40.6,85.2,1,461372,461372
301,University of Fribourg,Switzerland,44.5–46.8,31.8,32.4,64.7,54.1,87.3,11,237453,73813
301,Goethe University Frankfurt,Germany,44.5–46.8,31.7,29.5,75.6,43.2,59.9,5,96596,97632
301,Grenoble Alpes University,France,44.5–46.8,34.0,30.4,69.7,36.0,59.9,4,700472,712222
301,Indian Institute of Science,India,44.5–46.8,58.6,55.3,32.4,57.1,20.2,3,546289,162083
301,Kyung Hee University,South Korea,44.5–46.8,33.8,40.5,56.4,84.9,62.6,8,144562,177928
301,University of Liège,Belgium,44.5–46.8,27.6,38.2,60.5,95.9,70.6,4,350862,364878
301,University of Macau,Macao,44.5–46.8,32.3,32.6,61.9,41.0,98.5,1,818531,818531
301,University of Malaya,Malaysia,44.5–46.8,41.6,30.5,56.6,48.1,81.6,19,332131,333716
301,University of Marburg,Germany,44.5–46.8,33.8,29.1,73.4,39.1,53.6,3,62920,41144
301,University of Milan,Italy,44.5–46.8,35.9,28.9,72.2,37.7,42.6,5,403717,16814
301,Nagoya University,Japan,44.5–46.8,47.8,47.8,43.4,76.8,32.8,4,21571,18075
301,North Carolina State University,United States,44.5–46.8,36.7,35.3,64.7,43.2,57.8,4,252636,176378
301,Osaka University,Japan,44.5–46.8,51.5,49.0,34.6,63.0,36.0,2,5750,5750
301,Stony Brook University,United States,44.5–46.8,34.4,23.5,77.0,36.1,71.5,3,700695,652681
301,University of Tartu,Estonia,44.5–46.8,26.8,27.1,82.4,37.5,55.4,57,383566,322025
301,University of Tasmania,Australia,44.5–46.8,26.0,33.7,63.0,50.1,88.2,3,953219,469688
301,Temple University,United States,44.5–46.8,39.3,23.5,79.3,34.4,37.7,5,724128,439270
301,University of Texas at Dallas,United States,44.5–46.8,23.7,29.3,82.1,39.9,60.2,3,511325,307366
301,Tulane University,United States,44.5–46.8,42.3,24.1,72.7,37.0,41.9,10,808986,775435
301,Umeå University,Sweden,44.5–46.8,23.5,28.5,79.1,36.2,63.4,1,9970,9970
301,United Arab Emirates University,United Arab Emirates,44.5–46.8,23.7,19.1,84.7,43.3,91.6,4,1249153,1274178
301,University College Cork,Ireland,44.5–46.8,24.9,23.1,77.5,44.5,81.3,1,6868,6868
301,Victoria University,Australia,44.5–46.8,24.0,26.0,75.3,42.8,77.9,26,395836,292302
351,American University of Beirut,Lebanon,42.4–44.4,28.7,14.9,77.1,36.7,78.2,50,666128,531203
351,University of Bayreuth,Germany,42.4–44.4,34.7,34.5,55.8,59.9,55.4,1,94473,94473
351,University of Bremen,Germany,42.4–44.4,36.9,36.1,56.0,49.0,55.7,1,1196682,1196682
351,Catholic University of Portugal,Portugal,42.4–44.4,18.3,15.0,94.6,35.9,47.4,2,192741,192741
351,University of Connecticut,United States,42.4–44.4,36.5,29.7,60.6,37.9,49.0,6,390261,315291
351,University of Crete,Greece,42.4–44.4,17.7,20.1,91.4,38.7,48.0,1,134903,134903
351,University of Denver,United States,42.4–44.4,40.5,22.3,75.4,35.8,27.8,5,394795,433512
351,University of Florence,Italy,42.4–44.4,37.9,25.1,65.8,42.3,46.2,5,434160,24886
351,"Goldsmiths, University of London",United Kingdom,42.4–44.4,33.8,28.6,60.4,35.1,79.4,3,591694,799375
351,Hanyang University,South Korea,42.4–44.4,39.1,40.0,40.1,92.3,62.3,8,277295,262219
351,Hofstra University,United States,42.4–44.4,38.4,13.2,79.3,34.4,29.8,2,8298,8298
351,University of Iceland,Iceland,42.4–44.4,19.5,30.0,75.0,62.7,63.6,18,213099,179501
351,Iowa State University,United States,42.4–44.4,29.5,33.0,60.5,49.6,56.7,2,598050,598050
351,University of Kent,United Kingdom,42.4–44.4,24.1,28.4,67.9,35.0,91.5,9,661936,600370
351,Loughborough University,United Kingdom,42.4–44.4,33.8,34.3,52.9,39.0,80.1,4,398780,247521
351,University of Manitoba,Canada,42.4–44.4,28.0,30.8,69.9,36.5,53.4,5,385654,456904
351,National Tsing Hua University,Taiwan,42.4–44.4,35.4,46.2,50.1,64.8,36.2,1,476690,476690
351,Örebro University,Sweden,42.4–44.4,17.6,21.1,88.7,36.0,52.2,2,9060,9060
351,Oregon State University,United States,42.4–44.4,30.9,30.1,67.2,37.7,52.9,1,351754,351754
351,University of Perugia,Italy,42.4–44.4,18.6,22.8,87.5,45.2,44.6,2,77171,77171
351,University of Pisa,Italy,42.4–44.4,31.2,26.5,74.3,40.5,40.9,5,160241,9610
351,University of Salerno,Italy,42.4–44.4,20.2,19.5,94.0,37.3,33.9,1,8270,8270
351,University of Stirling,United Kingdom,42.4–44.4,23.6,25.3,75.5,35.2,82.1,1,969135,969135
351,Swinburne University of Technology,Australia,42.4–44.4,24.5,28.9,66.5,41.0,79.3,1,34592,34592
351,University of Turku,Finland,42.4–44.4,27.1,30.8,73.5,37.3,52.6,1,12681,12681
351,Washington State University,United States,42.4–44.4,30.7,28.6,71.8,48.4,49.3,2,535947,535947
351,Wayne State University,United States,42.4–44.4,33.3,18.1,83.3,45.4,37.6,5,799483,298463
351,Wuhan University,China,42.4–44.4,44.0,34.0,52.5,84.7,40.4,1,170202,170202
401,Aberystwyth University,United Kingdom,38.8–42.3,24.8,22.9,66.3,39.7,78.1,3,236313,247313
401,University of Alabama,United States,38.8–42.3,26.9,22.4,77.4,35.3,28.9,1,426695,426695
401,American University,United States,38.8–42.3,40.9,19.5,65.7,39.1,32.3,78,651395,496467
401,Bangor University,United Kingdom,38.8–42.3,22.4,20.7,66.3,35.7,81.8,2,116775,116775
401,Bond University,Australia,38.8–42.3,21.1,19.6,64.6,35.9,89.2,1,120416,120416
401,University of Bordeaux,France,38.8–42.3,30.0,22.7,66.8,36.4,58.4,6,575536,597132
401,Charles University in Prague,Czech Republic,38.8–42.3,32.9,25.9,53.0,34.8,58.7,8,158996,109308
401,"City, University of London",United Kingdom,38.8–42.3,26.1,27.8,57.7,35.5,94.9,5,973807,1136056
401,University of Cyprus,Cyprus,38.8–42.3,24.0,24.6,62.3,47.7,81.0,1,320127,320127
401,Drexel University,United States,38.8–42.3,35.8,20.4,64.7,41.5,50.3,2,119744,119744
401,Edith Cowan University,Australia,38.8–42.3,18.7,21.9,67.8,39.1,82.9,1,435096,435096
401,University of Genoa,Italy,38.8–42.3,32.1,23.1,63.8,42.9,43.9,2,3684,3684
401,University of Georgia,United States,38.8–42.3,34.9,35.8,55.8,37.2,46.0,3,294492,432146
401,Harbin Institute of Technology,China,38.8–42.3,39.5,36.8,44.0,99.3,36.7,2,144007,144007
401,Hong Kong Baptist University,Hong Kong,38.8–42.3,27.9,22.0,58.1,38.4,97.6,5,324392,275107
401,University of Houston,United States,38.8–42.3,33.6,25.9,58.0,36.8,42.5,3,194262,167865
401,Indian Institute of Technology Bombay,India,38.8–42.3,44.7,39.6,34.9,80.3,21.0,1,172688,172688
401,Indian Institute of Technology Delhi,India,38.8–42.3,48.5,27.9,49.0,73.9,17.6,3,80567,51575
401,Indian Institute of Technology Kharagpur,India,38.8–42.3,41.3,38.9,39.0,91.9,18.8,1,1141944,1141944
401,University of Innsbruck,Austria,38.8–42.3,27.6,21.8,62.0,43.1,97.4,11,431439,92952
